"Semana","Temporada","Clave_producto","Precio_semanal"
"1","2017-2018",61301,80
"1","2017-2018",120301,104.395364356137
"1","2017-2018",210401,237.685261143013
"1","2017-2018",210402,450
"1","2017-2018",210404,699.073774509804
"1","2017-2018",210410,1150
"1","2017-2018",221201,77.304475845771
"1","2017-2018",230202,138.326372704103
"1","2017-2018",330202,145.321798877381
"1","2017-2018",341001,78.3333333333333
"1","2017-2018",470201,78
"1","2017-2018",480204,254.166666666667
"2","2013-2014",10201,66.831931370185
"2","2013-2014",30201,70.3018005699737
"2","2013-2014",50201,57.3333333333333
"2","2014-2015",10201,80.6565189310887
"2","2014-2015",10204,159.8125
"2","2014-2015",61301,70
"2","2014-2015",80201,70
"2","2014-2015",90301,120
"2","2014-2015",101001,70
"2","2014-2015",120301,120
"2","2014-2015",130201,37.5
"2","2014-2015",200202,100
"2","2014-2015",230202,126.428571428571
"2","2015-2016",10201,129.187025916083
"2","2015-2016",10204,150
"2","2015-2016",61301,82.1822849807445
"2","2015-2016",90301,145
"2","2015-2016",130201,45
"2","2015-2016",140201,49.6076918724671
"2","2015-2016",210402,400
"2","2015-2016",210404,792.28404456269
"2","2015-2016",221201,86.6923997606224
"2","2015-2016",230202,143.807587282306
"2","2016-2017",10201,90.3193623979257
"2","2016-2017",10204,162.708371358371
"2","2016-2017",61301,78.3333333333333
"2","2016-2017",101001,77.5
"2","2016-2017",130201,30.24
"2","2016-2017",210401,276
"2","2016-2017",210402,441.035353535354
"2","2016-2017",210404,450
"2","2016-2017",221201,82
"2","2016-2017",230202,132.705049731278
"2","2016-2017",390204,167.5
"2","2017-2018",10201,85.3838106675695
"2","2017-2018",10204,245.516328331862
"2","2017-2018",61301,83.3333333333333
"2","2017-2018",101001,80
"2","2017-2018",120301,115.926720981295
"2","2017-2018",210401,253.333333333333
"2","2017-2018",210402,450
"2","2017-2018",210404,749.94588420173
"2","2017-2018",210410,1080
"2","2017-2018",221201,81.569617901119
"2","2017-2018",230202,156.515524310089
"2","2017-2018",330202,142.622536419354
"2","2017-2018",341001,84.0740740740741
"2","2017-2018",470201,82
"2","2017-2018",480204,250
"3","2013-2014",10201,46.8201606011306
"3","2013-2014",30201,48.2675379249379
"3","2013-2014",50201,50
"3","2014-2015",0,NA
"3","2014-2015",10201,84.5011725138365
"3","2014-2015",10204,158
"3","2014-2015",61301,70
"3","2014-2015",70301,116.666666666667
"3","2014-2015",90301,117.5
"3","2014-2015",120301,117.323767935122
"3","2014-2015",130201,67
"3","2014-2015",200202,96.875
"3","2014-2015",210401,234.359681372549
"3","2014-2015",230202,128.820598006645
"3","2015-2016",10201,137.265220931462
"3","2015-2016",10204,150
